Cycle: 5  NKG2A  32 nM_X	Cycle: 5  NKG2A  32 nM_Y	Fitted Cycle: 5  NKG2A  32 nM_X	Fitted Cycle: 5  NKG2A  32 nM_Y	Cycle: 6  NKG2A  16 nM_X	Cycle: 6  NKG2A  16 nM_Y	Fitted Cycle: 6  NKG2A  16 nM_X	Fitted Cycle: 6  NKG2A  16 nM_Y	Cycle: 7  NKG2A  8 nM_X	Cycle: 7  NKG2A  8 nM_Y	Fitted Cycle: 7  NKG2A  8 nM_X	Fitted Cycle: 7  NKG2A  8 nM_Y	Cycle: 8  NKG2A  4 nM_X	Cycle: 8  NKG2A  4 nM_Y	Fitted Cycle: 8  NKG2A  4 nM_X	Fitted Cycle: 8  NKG2A  4 nM_Y	Cycle: 9  NKG2A  2 nM_X	Cycle: 9  NKG2A  2 nM_Y	Fitted Cycle: 9  NKG2A  2 nM_X	Fitted Cycle: 9  NKG2A  2 nM_Y	Cycle: 10  NKG2A  8 nM_X	Cycle: 10  NKG2A  8 nM_Y	Fitted Cycle: 10  NKG2A  8 nM_X	Fitted Cycle: 10  NKG2A  8 nM_Y
-59.96	0.0124919	-59.96	0	-59.96	-0.0302328	-59.96	0	-59.96	-0.0357259	-59.96	0	-59.96	-1.91244e-3	-59.96	0	-59.96	-9.60287e-3	-59.96	0	-59.96	0.031779	-59.96	0
-59.86	0.0170491	-59.86	0	-59.86	-0.0295818	-59.86	0	-59.86	-0.0336101	-59.86	0	-59.86	2.64484e-3	-59.86	0	-59.86	-5.04565e-3	-59.86	0	-59.86	0.03243	-59.86	0
-59.76	0.0157471	-59.76	0	-59.76	-0.0367432	-59.76	0	-59.76	-0.0422363	-59.76	0	-59.76	7.20215e-3	-59.76	0	-59.76	-6.34766e-3	-59.76	0	-59.76	0.0135498	-59.76	0
-59.66	0.0118408	-59.66	0	-59.66	-0.0367432	-59.66	0	-59.66	-0.0493164	-59.66	0	-59.66	-8.42285e-3	-59.66	0	-59.66	-6.34766e-3	-59.66	0	-59.66	0.0135498	-59.66	0
-59.56	6.87695e-3	-59.56	0	-59.56	-0.0358477	-59.56	0	-59.56	-0.0484209	-59.56	0	-59.56	-7.52759e-3	-59.56	0	-59.56	-5.45216e-3	-59.56	0	-59.56	0.0144451	-59.56	0
-59.46	0.0131429	-59.46	0	-59.46	-0.033488	-59.46	0	-59.46	-0.042155	-59.46	0	-59.46	-1.26141e-3	-59.46	0	-59.46	-3.09247e-3	-59.46	0	-59.46	0.0207112	-59.46	0
-59.36	0.0131429	-59.36	0	-59.36	-0.0393473	-59.36	0	-59.36	-0.0421549	-59.36	0	-59.36	4.59796e-3	-59.36	0	-59.36	8.13842e-4	-59.36	0	-59.36	0.0207112	-59.36	0
-59.26	0.0105387	-59.26	0	-59.26	-0.0282796	-59.26	0	-59.26	-0.0408529	-59.26	0	-59.26	4.06802e-5	-59.26	0	-59.26	2.11588e-3	-59.26	0	-59.26	0.0220133	-59.26	0
-59.16	6.63248e-3	-59.16	0	-59.16	-0.0263265	-59.16	0	-59.16	-0.0388997	-59.16	0	-59.16	1.99381e-3	-59.16	0	-59.16	4.069e-3	-59.16	0	-59.16	0.0200602	-59.16	0
-59.06	6.87671e-3	-59.06	0	-59.06	-0.0358479	-59.06	0	-59.06	-0.0386555	-59.06	0	-59.06	6.14417e-3	-59.06	0	-59.06	8.21948e-3	-59.06	0	-59.06	0.0222574	-59.06	0
