id,Species,Order,Family,Genus,Total_suitable_pixels_threshold_1,Total_suitable_pixels_threshold_2,Total_suitable_pixels_threshold_3,Total_range_pixels,Model_prevalence_threshold_1,Model_prevalence_threshold_2,Model_prevalence_threshold_3,Minimum_elevation,Maximum_elevation,Model_prevalence_habitat,Model_prevalence_elevation,Percentage_clip_elevation_only,Percentage_clip_habitat_only,Percentage_clip_habitat_and_elevation,Number_of_habitats,Logistic_upper_outlier,Logistic_lower_outlier,Logistic_lower_outlier_issue,Estimated_model_prevalence_logistic,Red_List_Category,NULL_Issue,Point_Prevalence_T1,Point_Prevalence_T2,Point_Prevalence_T3,Number_of_Validation_Points,Realms
1,Abditomys_latidens,RODENTIA,MURIDAE,Abditomys,4128,2042,61221,67619,0.996628167,0.935580236,0.905381624,0,9000,0.905098494,1,0,9.490150637,0,3,No,No,NA,NA,DD,NA,NA,NA,NA,NA,Indomalayan
2,Abeomelomys_sevia,RODENTIA,MURIDAE,Abeomelomys,2002,28,705020,803875,0.879552169,0.877061732,0.877026901,1400,3100,0.995053996,0.880710586,11.80270954,0.368368467,0.126231902,2,No,No,NA,0.392255461,LC,NA,NA,NA,NA,NA,Australasia
3,Abrawayaomys_chebezi,RODENTIA,CRICETIDAE,Abrawayaomys,0,2736,3043538,4859175,0.62691177,0.62691177,0.626348711,0,9000,0.626589418,1,0,37.34105819,0,1,No,No,NA,NA,DD,NA,NA,NA,NA,NA,Neotropic
4,Abrawayaomys_ruschii,RODENTIA,CRICETIDAE,Abrawayaomys,0,15355,2878068,4476512,0.646356583,0.646356583,0.642926457,0,9000,0.64233757,1,0,35.76624305,0,1,No,No,NA,NA,LC,NA,NA,NA,NA,NA,Neotropic
5,Abrocoma_bennettii,RODENTIA,ABROCOMIDAE,Abrocoma,96169,1529708,9498241,11880121,0.936364032,0.928269081,0.799507093,0,4000,0.846897712,0.946637722,4.739061901,14.71306291,0.597165929,2,No,No,NA,0.977538044,LC,NA,NA,NA,NA,NA,Neotropic
6,Abrocoma_boliviensis,RODENTIA,ABROCOMIDAE,Abrocoma,0,3322,1114,5607,0.791153915,0.791153915,0.198680221,1800,2270,0.298050139,0.791086351,9.936991812,59.24061298,10.95437309,2,No,Yes,Habitat,0.822377578,CR,NA,NA,NA,NA,NA,Neotropic
7,Abrocoma_budini,RODENTIA,ABROCOMIDAE,Abrocoma,0,0,0,38124,0,0,0,3000,3000,0.512852149,0,51.28521489,0,48.71478511,2,No,No,NA,NA,DD,Elevation_Issue,NA,NA,NA,NA,NA
8,Abrocoma_cinerea,RODENTIA,ABROCOMIDAE,Abrocoma,17728,3348080,25214865,46728484,0.611632789,0.611253406,0.539603746,3700,5000,0.781879486,0.628483723,24.22757406,8.887997765,12.9240536,2,No,No,NA,0.489489622,LC,NA,NA,NA,NA,NA,Neotropic
9,Abrocoma_famatina,RODENTIA,ABROCOMIDAE,Abrocoma,0,3834,67710,311050,0.230008037,0.230008037,0.217682045,3800,9000,0.767070096,0.230383258,54.93880511,1.2701213,22.02286912,2,No,No,NA,NA,DD,NA,NA,NA,NA,NA,Neotropic
10,Abrocoma_shistacea,RODENTIA,ABROCOMIDAE,Abrocoma,14,119490,266109,530856,0.726398496,0.726372124,0.501282834,1100,2900,0.687580347,0.726767639,18.62975135,22.54848057,8.693484706,2,No,No,NA,0.916559278,LC,NA,NA,NA,NA,NA,Neotropic
11,Abrocoma_uspallata,RODENTIA,ABROCOMIDAE,Abrocoma,0,0,268,1400,0.191428571,0.191428571,0.191428571,1850,2150,0.994444444,0.205555556,79.44444444,0.555555556,0,3,No,Yes,Elevation,0.857577658,DD,NA,NA,NA,NA,NA,Neotropic
12,Abrocoma_vaccarum,RODENTIA,ABROCOMIDAE,Abrocoma,0,0,0,3638,0,0,0,3000,3000,0.002150538,0,0.215053763,0,99.78494624,1,No,No,NA,0.507011939,DD,Elevation_Issue,NA,NA,NA,NA,Neotropic
